imdb.id,title.mixed,sample.year.first,fest.first,oscar_nominated
tt3566452,through the fire,2013,IDFA,0
tt2736926,tick tock for ding dongs,2013,FRAMELINE,0
tt3089388,tim's vermeer,2013,TIFF,0
tt0035446,to be or not to be,2013,BERLINALE,0
tt2358875,achele,2013,CLERMONT-FERRAND,0
tt2417568,together,2013,BERLINALE,0
tt1796652,tokyo family,2013,BERLINALE,0
tt0046438,tokyo story,2013,BERLINALE,0
tt2427892,tom at the farm,2013,TIFF,0
tt2820082,tomorrow all the things,2013,CANNES,0
tt3326510,tonight we'll become women,2013,IDFA,0
tt2103085,top of the lake,2013,BERLINALE,0
tt3440920,torre david: the world's tallest squat,2013,IDFA,0
tt0052311,touch of evil,2013,BERLINALE,0
tt2368920,touch of the light,2013,BERLINALE,0
tt2171382,address is approximate,2013,CLERMONT-FERRAND,0
tt2555386,tough bond,2013,BERLINALE,0
tt0070820,touki bouki - journey of the hyena,2013,IDFA,0
tt2608732,tpb afk: the pirate bay away from keyboard,2013,BERLINALE,0
tt2167266,tracks,2013,TIFF,0
tt2758704,transpass,2013,FRAMELINE,0
tt3138596,trap street,2013,TIFF,0
tt0031800,traps,2013,BERLINALE,0
tt8074934,tree boy,2013,BERLINALE,0
tt3106926,triptych,2013,TIFF,0
tt1747958,blood ties,2013,CANNES,0
tt2309961,afflicted,2013,TIFF,0
tt3040366,truck driver,2013,CLERMONT-FERRAND,0
tt0395796,trudell,2013,BERLINALE,0
tt0389467,turangawaewae - a place to stand,2013,BERLINALE,0
tt2219894,turning,2013,FRAMELINE,0
tt2396566,twenty feet from stardom,2013,IDFA,1
tt3529894,twin sisters,2013,IDFA,0
tt3300956,two at the border,2013,IDFA,0
tt0390579,"two cars, one night",2013,BERLINALE,0
tt2570292,two weddings and a funeral,2013,FRAMELINE,0
tt2668758,after hours,2013,FRAMELINE,0
tt4741226,tyres,2013,IDFA,0
tt3136842,ukraine is not a brothel,2013,IDFA,0
tt3003668,unbeatable,2013,TIFF,0
tt2561416,uncle and son,2013,FRAMELINE,0
tt1441395,under the skin,2013,TIFF,0
tt3035858,under the starry sky,2013,TIFF,0
tt2716708,undress me,2013,BERLINALE,0
tt3019714,une jeune fille (a journey),2013,TIFF,0
tt1699758,unfair world,2013,TIFF,0
tt2577972,after the class,2013,CLERMONT-FERRAND,0
tt2347134,unforgiven,2013,TIFF,0
tt2718196,untitled,2013,BERLINALE,0
tt2271287,upsidedown,2013,BERLINALE,0
tt2084989,upstream color,2013,BERLINALE,0
tt2799764,uzushio -seto current-,2013,BERLINALE,0
tt2461190,valencia,2013,FRAMELINE,0
tt2577990,valentine road,2013,FRAMELINE,0
tt2894672,after the winter,2013,CANNES,0
tt0194497,variations on a cellphane wrapper,2013,TIFF,0
tt2862382,velocity,2013,CLERMONT-FERRAND,0
tt2406252,venus in fur,2013,CANNES,0
tt0052357,vertigo,2013,CANNES,0
tt3392926,via dolorosa,2013,IDFA,0
tt2385882,vic+flo saw a bear,2013,BERLINALE,0
tt2729792,view from the acropolis,2013,BERLINALE,0
tt2379418,viola,2013,BERLINALE,0
tt2388635,afterglow,2013,CLERMONT-FERRAND,0
tt2976920,violette,2013,TIFF,0
tt0070884,visions of eight,2013,CANNES,0
tt2936174,visitors,2013,TIFF,0
tt2145847,viva cuba libre: rap is war,2013,IDFA,0
tt2123349,voice over,2013,CLERMONT-FERRAND,0
tt3425182,voices of el alto,2013,IDFA,0
tt2894668,waiting for the thaw,2013,CANNES,0
tt2113820,walesa. man of hope.,2013,TIFF,0
tt3281074,ai weiwei the fake case,2013,IDFA,0
tt1808659,wasted youth,2013,TIFF,0
tt2581388,wasteland - so that no one becomes aware of it,2013,BERLINALE,0
tt3106868,watermark,2013,TIFF,0
tt2741220,we are animals,2013,FRAMELINE,0
tt2364975,we are the best!,2013,TIFF,0
tt2873214,we gotta get out of this place,2013,TIFF,0
tt3006560,we wanted more,2013,TIFF,0
tt2273772,we will never be alone again,2013,CLERMONT-FERRAND,0
tt3504226,weekend of a champion,2013,CANNES,0
tt2406610,welcome and... our condolences,2013,CLERMONT-FERRAND,0
tt2310800,aim high in creation,2013,IDFA,0
tt2625522,welcome to china,2013,CLERMONT-FERRAND,0
tt2865272,whale valley,2013,CANNES,0
tt2716200,whaled women,2013,BERLINALE,0
tt2699356,what happened to this city?,2013,BERLINALE,0
tt3016642,what is cinema?,2013,TIFF,0
tt2276071,what’s the t?,2013,FRAMELINE,0
tt5069844,whatever forever: douwe bob,2013,IDFA,0
tt3102906,when evening falls on bucharest or metabolism,2013,TIFF,0
tt2369543,when i saw you,2013,BERLINALE,0
tt2464788,"when i was a boy, i was a girl",2013,BERLINALE,0
tt3118584,airship,2013,TIFF,0
tt2378587,when jews were funny,2013,TIFF,0
tt2640120,where i am,2013,FRAMELINE,0
tt3609870,where i go,2013,IDFA,0
tt2386257,white lies,2013,TIFF,0
tt3246340,white soldier,2013,IDFA,0
tt2719388,who is pauline park?,2013,FRAMELINE,0
tt1992278,who’s afraid of vagina wolf?,2013,FRAMELINE,0
tt2319863,whoopi goldberg presents moms mabley,2013,IDFA,0
tt2409302,why don't you play in hell?,2013,TIFF,0
tt2232594,wild duck,2013,TIFF,0
tt2481138,alaska is a drag,2013,FRAMELINE,0
tt1858810,wind,2013,CLERMONT-FERRAND,0
tt2767108,winter has come,2013,BERLINALE,0
tt2404738,witching & bitching,2013,TIFF,0
tt0040670,woman,2013,BERLINALE,0
tt2380331,words and pictures,2013,TIFF,0
tt2763400,workers,2013,BERLINALE,0
tt3461160,wukan: the flame of democracy,2013,IDFA,0
tt2366035,yardbird,2012,CANNES,0
tt2176350,yeah kowalski!,2013,FRAMELINE,0
tt3106980,yellowhead,2013,TIFF,0
tt2393440,yesterday never ends,2013,BERLINALE,0
tt1545754,you are here,2013,TIFF,0
tt2125698,young & wild,2012,BERLINALE,0
tt3059922,young wonder,2013,TIFF,0
tt2670524,youth,2013,BERLINALE,0
tt2733978,"yugoslavia, how ideology moved our collective body",2013,BERLINALE,0
tt2735438,yumen,2013,BERLINALE,0
tt2278871,blue is the warmest color,2013,CANNES,0
tt3142224,all about the feathers,2013,TIFF,0
tt2736248,zelim's confession,2013,IDFA,0
tt2095835,zero by zero,2013,CLERMONT-FERRAND,0
tt1790885,zero dark thirty,2013,IDFA,1
tt2388821,zip & zap and the marble gang,2013,TIFF,0
tt2249221,zulu,2013,CANNES,0
tt2622156,zwei mütter,2013,BERLINALE,0
tt2498710,rosakinder,2013,BERLINALE,0
tt2650054,la maison de la radio,2013,BERLINALE,0
tt2669312,echolot,2013,BERLINALE,0
tt2204644,elelwani,2013,BERLINALE,0
tt2527186,all cheerleaders die,2013,TIFF,0
tt2221506,fynbos,2013,BERLINALE,0
tt2440728,hélio oiticica,2013,BERLINALE,0
tt2660260,sieniawka,2013,BERLINALE,0
tt2729612,blinder fleck,2013,BERLINALE,0
tt2735198,bühne,2013,BERLINALE,0
tt2750876,el cafeteria,2013,BERLINALE,0
tt2731456,mammas,2013,BERLINALE,0
tt2177811,un archipel,2013,BERLINALE,0
