film.id,unique.id,sample.year,fest,fest.sect
f4108,1190,2013,CLERMONT-FERRAND,International Competition
f2071,1191,2013,CANNES,Cinéfondation
f1012,1192,2013,BERLINALE,Competition
f1330,1193,2013,BERLINALE,"NATIVe - Indigenous Cinema"
f5167,1194,2013,FRAMELINE,Documentaries
f2012,1195,2013,CANNES,In Competition
f5173,1197,2013,FRAMELINE,Shorts: Bi Candy
f1146,1198,2013,BERLINALE,Forum
f3271,1199,2013,TIFF,Wavelength
f2040,12,2013,CANNES,Out of Competition
f4375,120,2013,CLERMONT-FERRAND,Inde
f6205,1200,2013,IDFA,IDFA Paradocs
I1205691,1201,2012,CLERMONT-FERRAND,Labo
f4229,1201,2013,CLERMONT-FERRAND,Collections
f6208,1202,2013,IDFA,IDFA Regular program: Panorama
f1307,1203,2013,BERLINALE,Retrospective
f6209,1204,2013,IDFA,IDFA Paradocs
f3002,1205,2013,TIFF,Gala Presentation
f3236,1206,2013,TIFF,Wavelength
f6211,1207,2013,IDFA,IDFA Competition for Kids & Docs; IDFA Junior
f1267,1208,2013,BERLINALE,Perspektive Deutsches Kino
f1355,1209,2013,BERLINALE,Culinary Cinema
f1318,121,2013,BERLINALE,Homage
f3016,1210,2013,TIFF,Gala Presentation
f4166,1211,2013,CLERMONT-FERRAND,Lab Competition
f6217,1212,2013,IDFA,IDFA Panorama
f1031,1213,2013,BERLINALE,Berlinale Shorts
f1251,1214,2013,BERLINALE,Generation
f1041,1215,2013,BERLINALE,Berlinale Shorts
f1198,1216,2013,BERLINALE,Forum Expanded
f3345,1217,2013,TIFF,Vanguard
f3163,1219,2013,TIFF,Contemporary World Cinema
f3159,122,2013,TIFF,Contemporary World Cinema
f4168,1220,2013,CLERMONT-FERRAND,Lab Competition
f5186,1221,2013,FRAMELINE,Documentaries
f6221,1222,2013,IDFA,IDFA Masters
f3192,1223,2013,TIFF,Contemporary World Cinema
f1265,1224,2013,BERLINALE,Perspektive Deutsches Kino
f16556,1225,2011,BERLINALE,Berlinale Shorts
f5196,1225,2013,FRAMELINE,Shorts: Tu Recuerdo
f6229,1226,2013,IDFA,IDFA Panorama
f1048,1227,2013,BERLINALE,Berlinale Shorts
f1308,1228,2013,BERLINALE,Retrospective
f5230,123,2013,FRAMELINE,Shorts: Tu Recuerdo
f6235,1230,2013,IDFA,IDFA Best of Fests
f1062,1231,2013,BERLINALE,Berlinale Special
f3220,1232,2013,TIFF,TIFF Docs
f3124,1233,2013,TIFF,Discovery
f3354,1234,2013,TIFF,Midnight Madness
f6237,1235,2013,IDFA,IDFA Music Documentary
f3350,1236,2013,TIFF,Vanguard
I1200398,1237,2012,CLERMONT-FERRAND,Labo
f4235,1237,2013,CLERMONT-FERRAND,Collections
f1282,1238,2013,BERLINALE,Retrospective
f3140,1239,2013,TIFF,Discovery
tffnew359,124,2012,TIFF,tiff docs: 2012
