film.id,unique.id,sample.year,fest,fest.sect,imdb.id,title.mixed,prod.year,length.min,length,prod.country.1.en,prod.country.2.en,prod.country.3.en,prod.country.4.en,prod.country.5.en,prod.country.6.en,prod.country.7.en,regions.mena,regions.africa,regions.asia,regions.na,regions.eu,regions.la,regions.ocean,director.1,director.2,director.3,director.4,director.5,director.6,director.7,director.8,director.9,director.10,director.11,director.12,director.13,director.14,director.15,director.16,director.17,director.18,director.19,director.20,director.21,director.22,director.23,director.24,director.25,director.26,animt,doc,exp,fict,lgbtq,imdb.fest,retro.fest.sect,competition,genre,fest.first,fest.sect.first,sample.year.first,fest.show.delay.3year.and.more
f5202,1009,2013,FRAMELINE,Shorts: Generations: Youth and Elders Making Movies,,space is a lonely place,2012.0,3.0,40 min. or shorter,United States,,,,,,,0,0,0,1,0,0,0,Koyle Kendrick,Reel Queer Youth Filmmakers,Emmy Rodriguez,Jude Watson,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,LGBT*Q films,0,0,0,other fiction,FRAMELINE,Shorts: Generations: Youth and Elders Making Movies,2013,0.0
f1009,101,2013,BERLINALE,Competition,tt2650954,a long and happy life,2013.0,77.0,41 min. or longer,Russia,,,,,,,0,0,0,0,1,0,0,Boris Khlebnikov,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,0,1,other fiction,BERLINALE,Competition,2013,0.0
f5203,1010,2013,FRAMELINE,Shorts: Fun in Boys Shorts,tt2447552,spooners,2012.0,14.0,40 min. or shorter,United States,,,,,,,0,0,0,1,0,0,0,Bryan Horch,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,LGBT*Q films,1,0,0,other fiction,FRAMELINE,Shorts: Fun in Boys Shorts,2013,0.0
f3256,1011,2013,TIFF,Wavelength,tt3123162,spring,2013.0,23.0,40 min. or shorter,United States,,,,,,,0,0,0,1,0,0,0,Nathaniel Dorsky,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,other films,1,0,0,experimental fiction,TIFF,Wavelength,2013,0.0
f1028,1012,2013,BERLINALE,Berlinale Shorts,tt2642662,stab,2012.0,12.0,40 min. or shorter,France,,,,,,,0,0,0,0,1,0,0,Clément Decaudin,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,0,0,other fiction,BERLINALE,Berlinale Shorts,2013,0.0
f6236,1013,2013,IDFA,IDFA Paradocs: Amsterdam Art Weekend at IDFA,,staging silence ii,2013.0,22.0,40 min. or shorter,Belgium,,,,,,,0,0,0,0,1,0,0,Hans Op de Beeck,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,other films,0,0,0,other documentary,IDFA,IDFA Paradocs: Amsterdam Art Weekend at IDFA,2013,0.0
f3222,1014,2013,TIFF,City to City: Athens,tt2763624,"standing aside, watching",2013.0,90.0,41 min. or longer,Greece,,,,,,,0,0,0,0,1,0,0,Yorgos Servetas,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,0,0,other fiction,TIFF,City to City: Athens,2013,0.0
f17239,1014,2014,BERLINALE,Panorama,tt2763624,"standing aside, watching",2013.0,90.0,41 min. or longer,Greece,,,,,,,0,0,0,0,1,0,0,Yorgos Servetas,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,0,0,other fiction,TIFF,City to City: Athens,2013,0.0
f4338,1015,2013,CLERMONT-FERRAND,Ouverture,tt0487048,starfly,2005.0,19.0,40 min. or shorter,Luxembourg,,,,,,,0,0,0,0,1,0,0,Beryl Koltz,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,0,0,other fiction,CLERMONT-FERRAND,Ouverture,2013,1.0
f3085,1016,2013,TIFF,Special Presentation,tt2567712,starred up,2013.0,100.0,41 min. or longer,United Kingdom,,,,,,,0,0,0,0,1,0,0,David Mackenzie,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,0,0,other fiction,TIFF,Special Presentation,2013,0.0
f1111,1017,2013,BERLINALE,Panorama,tt2324918,state 194,2012.0,98.0,41 min. or longer,United States,Israel,,,,,,1,0,0,1,0,0,0,Dan Setton,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,other films,1,0,0,other documentary,BERLINALE,Panorama,2013,0.0
f3188,1018,2013,TIFF,Contemporary World Cinema,tt2234032,stay,2013.0,99.0,41 min. or longer,Canada,Ireland,,,,,,0,0,0,1,1,0,0,Wiebke von Carolsfeld,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,0,0,other fiction,TIFF,Contemporary World Cinema,2013,0.0
f5204,1019,2013,FRAMELINE,Shorts: Disclosure,tt2649748,stay positive,2013.0,8.0,40 min. or shorter,United States,,,,,,,0,0,0,1,0,0,0,Robert Carnilius,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,LGBT*Q films,0,0,0,other fiction,FRAMELINE,Shorts: Disclosure,2013,0.0
f6157,102,2013,IDFA,IDFA Top 10,tt0062043,a man vanishes,1967.0,130.0,41 min. or longer,Japan,,,,,,,0,0,1,0,0,0,0,Shohei Imamura,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,other films,1,0,0,other documentary,IDFA,IDFA Top 10,2013,1.0
f1162,1020,2013,BERLINALE,Forum,tt2652874,stemple pass,2012.0,121.0,41 min. or longer,United States,,,,,,,0,0,0,1,0,0,0,James Benning,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,other films,1,0,0,experimental documentary,BERLINALE,Forum,2013,0.0
f1039,1021,2013,BERLINALE,Berlinale Shorts,tt1767323,step by step,1978.0,23.0,40 min. or shorter,Syria,,,,,,,1,0,0,0,0,0,0,Ossama Mohammed,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,0,0,0,other fiction,BERLINALE,Berlinale Shorts,2013,1.0
idfnew1838,1021,2017,IDFA,Shifting Perspectives: The Arab World,tt1767323,step by step,1978.0,23.0,40 min. or shorter,Syria,,,,,,,1,0,0,0,0,0,0,Ossama Mohammed,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,0,0,0,other fiction,BERLINALE,Berlinale Shorts,2013,1.0
f1210,1022,2013,BERLINALE,Generation,tt2668950,stepping on the flying grass,2012.0,79.0,41 min. or longer,Indonesia,,,,,,,0,0,1,0,0,0,0,Eugene Panji,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,0,0,other fiction,BERLINALE,Generation,2013,0.0
f2069,1023,2013,CANNES,Cinéfondation,tt2707380,stepsister,2013.0,18.0,40 min. or shorter,United States,,,,,,,0,0,0,1,0,0,0,Joey Izzo,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,0,0,other fiction,CANNES,Cinéfondation,2013,0.0
f5205,1024,2013,FRAMELINE,Shorts: Disclosure,tt2448114,stigma,2012.0,27.0,40 min. or shorter,United States,,,,,,,0,0,0,1,0,0,0,Phill Schwartz,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,LGBT*Q films,0,0,0,other fiction,FRAMELINE,Shorts: Disclosure,2013,0.0
f4372,1025,2013,CLERMONT-FERRAND,Water Project,,still waters,2012.0,14.0,40 min. or shorter,Israel,Palestinian Territories,,,,,,1,0,0,0,0,0,0,Nir Sa'ar,Maya Sarfaty,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,0,0,0,other fiction,CLERMONT-FERRAND,Water Project,2013,0.0
f3263,1026,2013,TIFF,Wavelength,tt3102458,story of my death,2013.0,148.0,41 min. or longer,Spain,,,,,,,0,0,0,0,1,0,0,Albert Serra,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,0,0,other fiction,TIFF,Wavelength,2013,0.0
f3262,1027,2013,TIFF,Wavelength,tt3119416,stray dogs,2013.0,138.0,41 min. or longer,Taiwan,France,,,,,,0,0,1,0,1,0,0,Tsai Ming-liang,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,0,0,other fiction,TIFF,Wavelength,2013,0.0
f6238,1028,2013,IDFA,IDFA Competition for Feature-Length Documentary,tt2971994,stream of love,2013.0,70.0,41 min. or longer,Hungary,,,,,,,0,0,0,0,1,0,0,Agnes Sós,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,other films,1,0,1,other documentary,IDFA,IDFA Competition for Feature-Length Documentary,2013,0.0
