unique.id,imdb.id,title.mixed,prod.year,length.min,length,prod.country.1.en,prod.country.2.en,prod.country.3.en,prod.country.4.en,prod.country.5.en,prod.country.6.en,prod.country.7.en,regions.mena,regions.africa,regions.asia,regions.na,regions.eu,regions.la,regions.ocean,director.1,director.2,director.3,director.4,director.5,director.6,director.7,director.8,director.9,director.10,director.11,director.12,director.13,director.14,director.15,director.16,director.17,director.18,director.19,director.20,director.21,director.22,director.23,director.24,director.25,director.26,animt,doc,exp,fict,lgbtq,imdb.fest,retro.fest.sect,competition,genre,fest.first,fest.sect.first,sample.year.first,fest.show.delay.3year.and.more
1038,tt0296881,symbiopsychotaxiplasm: take one,1968,75,41 min. or longer,United States,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,William Greaves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,other films,1,0,0,other documentary,IDFA,IDFA Paradocs: Barbara Visser - The Making of Movies,2013,1
1039,tt2661940,tabato,2013,13,40 min. or shorter,Portugal,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,João Viana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,other films,1,0,0,other documentary,BERLINALE,Berlinale Shorts,2013,0
104,tt2751502,a mother's dream,2007,7,40 min. or shorter,Canada,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,Cherilyn Papatie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,other films,1,0,0,other documentary,BERLINALE,"NATIVe - Indigenous Cinema",2013,1
1040,NA,taboo,2011,8,40 min. or shorter,Austria,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,Chiara Grabmayr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,LGBT*Q films,0,0,0,other documentary,FRAMELINE,NA,2013,0
1041,NA,tactica,2012,17,40 min. or shorter,Spain,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,Fernando Sanchez Castillo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,other films,0,0,0,other documentary,IDFA,IDFA Paradocs: Amsterdam Art Weekend at IDFA,2013,0
1042,NA,temptation,2013,83,41 min. or longer,Belarus,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,Viktar Dashuk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,other films,0,0,0,other documentary,IDFA,IDFA Panorama,2013,0
1043,tt0466399,ten canoes,2006,90,41 min. or longer,Australia,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,Rolf de Heer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,1,0,0,other fiction,BERLINALE,"NATIVe - Indigenous Cinema",2013,1
1044,tt2327543,tender,2012,15,40 min. or shorter,Australia,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,Jessica Redenbach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,1,0,1,other fiction,CLERMONT-FERRAND,International Competition,2013,0
1045,tt2369186,tennis elbow,2012,17,40 min. or shorter,France,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,Vital Philippot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,1,0,1,other fiction,CLERMONT-FERRAND,National Competition,2013,0
1046,NA,tenniscoats - baibaba bimba,2012,7,40 min. or shorter,France,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,Colin Solal Cardo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,0,0,0,other fiction,CLERMONT-FERRAND,Decibels,2013,0
